time,open,high,low,close,volume,Dividends,Stock Splits,close_adj,open_adj,high_adj,low_adj,log_return,overnight_return,intraday_return,hl_log_range,mkt_close,mkt_volume,mkt_high,mkt_low,mkt_return,split_factor,dividend,garman_klass_vol,gk_vol_20d,amihud_illiq,amihud_illiq_20d,frac_diff_close
2018-08-06,20242.688503767607,20341.146866251987,19998.118529548963,20155.43573774414,153228.51960000003,0.0,0.0,20155.43573774414,20242.688503767607,20341.146866251987,19998.118529548963,,,-0.00431965113901759,0.017007578196088658,915.579305,146520502.395,918.210965,910.99297,0.000625789805933,1.0,0.0,0.0001374208424686397,,,,
2018-08-07,20168.916649903345,20308.822911387462,19818.95699763175,20072.601455810545,209499.5113,26.6,0.02507,20072.601455810545,20168.916649903345,20308.822911387462,19818.95699763175,-0.004118242140768533,0.0006686238891991517,-0.004786866029967715,0.024416514016700933,912.299265,131872749.58,917.28607,909.3624850000004,-0.0034220232659499,1.0,0.0,0.00028923149600164637,,9.793213044087053e-13,,
2018-08-08,20045.780775187424,20395.59503107314,19877.0818692341,20184.524094970697,208720.5433,0.0,0.0,20184.524094970697,20045.780775187424,20395.59503107314,19877.0818692341,0.005560403332239686,-0.00133707707676089,0.006897480409000507,0.025751544492351043,921.338445,134126699.62500004,921.338445,913.7485849999998,0.0094009060794725,1.0,0.0,0.0003131929764778992,,1.319843944420187e-12,,
2018-08-09,20160.026098752376,20595.514909432582,19997.238249051767,20440.21463666992,260920.12299999996,0.0,0.0,20440.21463666992,20160.026098752376,20595.514909432582,19997.238249051767,0.012588089231675904,-0.0012144390809474346,0.013802528312623404,0.029479152775781597,918.6972500000002,148991421.365,927.29782,918.6972500000002,-0.0027373177259071,1.0,0.0,0.00036091736741562536,,2.360297717010427e-12,,
2018-08-10,20472.23875738469,20597.20416252011,20177.667873711074,20416.40250317383,221546.6771,85.05,0.0,20416.40250317383,20472.23875738469,20597.20416252011,20177.667873711074,-0.0011656440429595343,0.001565495324695031,-0.00273113936765456,0.020578904289999644,923.436145,163468163.95499995,923.436145,910.63064,0.0049057754040581,1.0,0.0,0.000208864234026122,0.00026192538327798653,2.5770419538505945e-13,,
2018-08-13,20385.565952107427,20620.78730878549,20182.84818708004,20449.301763867188,240841.4137,0.0,0.0,20449.301763867188,20385.565952107427,20620.78730878549,20182.84818708004,0.0016101162767642582,-0.0015115230026820127,0.003121639279446198,0.02146651559491721,932.5611399999998,169810550.37,932.5611399999998,918.611435,0.0093758249624774,1.0,0.0,0.0002266413495813662,0.0002560447109952165,3.2692459081179515e-13,1.0488183504072348e-12,
2018-08-14,20513.60184574768,20611.89262607697,20245.57990637464,20530.617400488285,377314.6143,0.0,0.0,20530.617400488285,20513.60184574768,20611.89262607697,20245.57990637464,0.003968565336519991,0.003139432463346437,0.0008291328731736237,0.01793172766217523,932.7804449999998,142789313.87,935.78397,929.157145,0.0002242027091928,1.0,0.0,0.00016050786604327415,0.00024239659028779613,5.12304178555893e-13,9.593993217653445e-13,
2018-08-15,20587.70592021894,20731.43987632011,20368.437661766373,20545.830521582036,333314.1849,0.0,0.0,20545.830521582036,20587.70592021894,20731.43987632011,20368.437661766373,0.0007407223632478505,0.0027767939839150753,-0.0020360716206671396,0.017664853314897446,916.666295,163072490.05999997,936.337,916.666295,-0.0166160295626746,1.0,0.0,0.00015442210418782837,0.00023139977952530018,1.0816280937379424e-13,8.377941057094086e-13,
2018-08-16,20550.93692318611,20686.83619001289,20243.30732914811,20619.67158295898,300148.89060000004,13.973679755,0.0,20619.67158295898,20550.93692318611,20686.83619001289,20243.30732914811,0.0035875253208876405,0.0002485062426000063,0.003339019078287584,0.021673328470296068,919.44098,148732927.515,919.44098,911.43158,0.002881818723182,1.0,0.0,0.00023055976895990375,0.0002313064450180339,5.796642126742421e-13,8.055278690800129e-13,
2018-08-17,20629.581818283263,20754.705285506385,20412.45668755911,20598.75609550781,249781.7504,0.0,0.0,20598.75609550781,20629.581818283263,20754.705285506385,20412.45668755911,-0.001014861091231896,0.0004805049642260064,-0.001495366055458012,0.016627645282046973,923.82708,129794910.985,930.1583200000002,923.82708,0.0045377602249739,1.0,0.0,0.00013737549340513908,0.00022191334985674442,1.9724450015509911e-13,7.379408280883558e-13,
2018-08-20,20520.68737255,20738.32349570484,20379.02444340527,20638.825211523435,300108.7536,0.0,0.0,20638.825211523435,20520.68737255,20738.32349570484,20379.02444340527,0.001943330687970688,-0.003797172829996916,0.005740503517967664,0.0174772068726664,924.53267,152507996.10999998,928.298995,921.5196100000002,0.0007279752739478,1.0,0.0,0.00013999667491399704,0.00021446637940740373,3.1374952186100344e-13,6.955216974656206e-13,
2018-08-21,20689.47328872642,20781.066440184477,20468.046835295623,20687.16686113281,243003.81720000005,0.0,0.0,20687.166861132806,20689.473288726418,20781.066440184473,20468.04683529562,0.00233952867114649,0.0024510131990177503,-0.00011148452787110978,0.015177325702937295,933.676735,158679334.16,933.676735,923.417075,0.009384234448092,1.0,0.0,0.00011517080657118256,0.00020619174833771863,4.653870118506524e-13,6.746003624097144e-13,
